mmsi_a,mmsi_b,name_a,name_b,time_a,time_b,collision_time,lat_a,lon_a,lat_b,lon_b,collision_lat,collision_lon,sog_a,sog_b,cog_a,cog_b,length_m_a,length_m_b,time_delta_seconds,distance_nm
211810060,253754000,WINDCAT 43,GEO OCEAN V,2021-12-24T09:24:13.000Z,2021-12-24T09:24:12.000Z,2021-12-24T09:24:12.000Z,54.749092,14.783688,54.749243,14.783642,54.7491675,14.783665,1.0,1.0,341.6,343.4,22.0,52.0,1,0.00920517609700935
265547110,265768850,RESCUE SJOMANSHUSET,RESCUE SPARB. SKANE,2021-12-20T18:18:48.000Z,2021-12-20T18:18:27.000Z,2021-12-20T18:18:37.000Z,55.389083,13.783952,55.389198,13.783773,55.389140499999996,13.7838625,1.6,1.3,139.0,138.3,12.0,8.0,21,0.009216198280729566
219019287,219021428,HG 162 NORTH OCEAN,HG 165 SOUTH OCEAN,2021-12-10T09:23:23.000Z,2021-12-10T09:23:04.000Z,2021-12-10T09:23:13.000Z,55.295677,15.281582,55.295797,15.281412,55.295737,15.281497,2.0,2.6,101.6,110.5,17.0,,19,0.00925634282732413
219019287,219021428,HG 162 NORTH OCEAN,HG 165 SOUTH OCEAN,2021-12-10T09:23:23.000Z,2021-12-10T09:23:04.000Z,2021-12-10T09:23:13.000Z,55.295677,15.281582,55.295797,15.281412,55.295737,15.281497,2.0,2.6,101.6,110.5,17.0,,19,0.00925634282732413
265016790,265714460,RESCUE PATRIK DAHL,RESCUE FAMOUS,2021-12-13T17:54:14.000Z,2021-12-13T17:54:39.000Z,2021-12-13T17:54:26.000Z,55.61541,12.994142,55.615283,12.993983,55.6153465,12.9940625,2.2,1.6,191.2,166.3,4.0,8.0,25,0.009338573694874806
265714460,265759020,RESCUE FAMOUS,RESCUE B JARLEBRING,2021-12-13T17:34:53.000Z,2021-12-13T17:34:39.000Z,2021-12-13T17:34:46.000Z,55.675683,13.058783,55.675667,13.0585,55.675675,13.0586415,1.2,1.7,339.4,287.9,8.0,11.0,14,0.009629122523788995
265016790,265714460,RESCUE PATRIK DAHL,RESCUE FAMOUS,2021-12-13T17:54:14.000Z,2021-12-13T17:54:26.000Z,2021-12-13T17:54:20.000Z,55.61541,12.994142,55.615333,12.993883,55.615371499999995,12.9940125,2.2,1.5,191.2,118.7,4.0,8.0,12,0.00992460899316536
265547110,265768850,RESCUE SJOMANSHUSET,RESCUE SPARB. SKANE,2021-12-20T18:51:46.000Z,2021-12-20T18:50:50.000Z,2021-12-20T18:51:18.000Z,55.37401,13.749147,55.374078,13.748868,55.374044,13.749007500000001,1.0,1.0,159.1,24.3,12.0,8.0,56,0.010357028243161771
265547110,265695200,RESCUE SJOMANSHUSET,RESCUE PANTAMERA,2021-12-16T10:55:22.000Z,2021-12-16T10:55:58.000Z,2021-12-16T10:55:40.000Z,55.573292,14.356237,55.57312,14.356292,55.573206,14.3562645,1.0,1.2,319.0,274.0,12.0,8.0,36,0.01049435497339807
265547110,265768850,RESCUE SJOMANSHUSET,RESCUE SPARB. SKANE,2021-12-20T18:37:37.000Z,2021-12-20T18:37:56.000Z,2021-12-20T18:37:46.000Z,55.374435,13.749243,55.374415,13.748932,55.374425,13.7490875,1.0,2.8,291.8,233.3,12.0,8.0,19,0.010677705319320746
265523410,265768850,RESCUE GAD RAUSING,RESCUE SPARB. SKANE,2021-12-13T07:10:50.000Z,2021-12-13T07:11:17.000Z,2021-12-13T07:11:03.000Z,55.243717,14.232643,55.243837,14.232395,55.243776999999994,14.232519,1.0,1.0,28.4,257.9,20.0,8.0,27,0.011134014139554036
